seed,soil,season,states,info,growth_days,fertilizers,irrigation
Turmeric,Alluvial,Kharif,Odisha,"Spice crop, rhizome",180-210,"FYM basal, Nitrogen splits - follow local extension recommendations",Irrigate every 10–15 days - follow local extension recommendations
Ginger,Alluvial,Kharif,Karnataka,"Spice crop, rhizome",180-200,"FYM basal, Nitrogen splits",Irrigate every 7–10 days - follow local extension recommendations
Black Pepper,Loamy,Perennial,Karnataka,"Spice vine, grows on supports",150-180,"Organic manure, Potash basal",Water every 10–12 days
Cardamom,Forest soil,Perennial,Karnataka,"Spice crop, shade loving",200-250,"Organic manure, Nitrogen basal (apply as needed)",Regular irrigation in dry months - follow local extension recommendations
Banana,Loamy,Annual,Gujarat,"Fruit crop, tropical climate",300-365,"FYM basal, Nitrogen & Potash splits - follow local extension recommendations",Irrigate every 7–10 days
Mango,Sandy loam,Perennial,Maharashtra,"Fruit crop, tropical to subtropical",365+,"FYM, minimal fertilizers after fruit set - follow local extension recommendations","Water young plants, flowering, fruiting"
Papaya,Loamy,Annual,Maharashtra,"Fruit crop, fast growing",180-240,Nitrogen & Potash regular application,Irrigate every 7–10 days (apply as needed)
Guava,Sandy loam,Perennial,Bihar,"Fruit crop, hardy",365+,"FYM basal, Nitrogen annual - follow local extension recommendations","Irrigate young plants, flowering, fruiting (apply as needed)"
Apple,Sandy loam,Rabi,J&K,"Fruit crop, cool climate",250-300,"FYM basal, Nitrogen & Potash splits",Irrigate during fruit set and dry periods - follow local extension recommendations
Grapes,Loamy,Annual,Karnataka,"Fruit crop, vineyard",150-180,"Nitrogen, Potash basal",Water every 7–10 days
Pineapple,Sandy loam,Annual,Meghalaya,"Fruit crop, tropical climate",210-240,"Organic manure, Nitrogen basal (apply as needed)",Irrigate every 10–15 days - follow local extension recommendations
Watermelon,Loamy,Kharif,UP,"Fruit crop, hot dry climate",80-100,"Nitrogen basal, Potash at fruit set - follow local extension recommendations",Irrigate weekly until fruiting - follow local extension recommendations
Muskmelon,Sandy loam,Summer,UP,"Fruit crop, warm climate",70-90,"Nitrogen basal, Potash at fruit set",Irrigate at 7–10 day intervals (apply as needed)
Pomegranate,Loamy,Perennial,Karnataka,"Fruit crop, hardy and drought tolerant",365+,"FYM basal, Potash annual - follow local extension recommendations",Water at flowering and fruiting
Coconut,Coastal soil,Perennial,Karnataka,"Nut crop, coastal regions",365+,"Organic manure, Potash annual",Irrigate every 15–20 days
Tea,Laterite,Perennial,Kerala,"Plantation crop, acidic soils",365+,Nitrogen & Potash regular - follow local extension recommendations,Irrigate in dry months - follow local extension recommendations
Coffee,Loamy,Perennial,Kerala,"Plantation crop, shade loving",365+,"Organic manure, Nitrogen basal",Irrigate in dry season - follow local extension recommendations
Rubber,Loamy,Perennial,Tamil Nadu,"Plantation crop, latex",365+,"Organic manure, minimal fertilizers (apply as needed)",Irrigate in dry season - follow local extension recommendations
Tobacco,Alluvial,Kharif,Gujarat,"Commercial crop, requires warm climate",120-150,"Nitrogen basal, Potash top dressing",Irrigate every 7–10 days (apply as needed)
Jute,Alluvial,Kharif,Bihar,"Fiber crop, needs humid climate",100-120,Nitrogen & Potash basal (apply as needed),Irrigate if rainfall is insufficient
Cotton Hybrid,Black soil,Kharif,Gujarat,"Hybrid cotton, higher yield",160-200,"Nitrogen split, Potash at flowering",Irrigate at boll formation
Sesame,Alluvial,Rabi,Rajasthan,"Oilseed crop, drought tolerant",80-100,"Minimal fertilizers, Nitrogen basal (apply as needed)","Usually rainfed, irrigate at flowering - follow local extension recommendations"
Castor,Sandy loam,Kharif,Rajasthan,"Oilseed crop, hardy",120-150,Nitrogen & Potash basal,Water at flowering and capsule formation
Safflower,Loamy,Rabi,Maharashtra,"Oilseed crop, cool season",110-130,"Nitrogen basal, Potash at flowering","Usually rainfed, irrigate at flowering - follow local extension recommendations"
Linseed,Loamy,Rabi,Madhya Pradesh,"Oilseed crop, cool climate",100-120,Nitrogen & Potash basal,Water once at flowering
Peas,Loamy,Rabi,Bihar,"Vegetable/pulse, cool climate",90-120,"DAP basal, minimal Nitrogen - follow local extension recommendations",Irrigate at flowering and pod filling
Rice,Alluvial,Kharif,Assam,"Needs high rainfall, grown in waterlogged fields",120-150,"Nitrogen-rich fertilizers (Urea, DAP) at tillering stage",Irrigate every 7–10 days - follow local extension recommendations
Wheat,Alluvial,Rabi,Punjab,Requires cool climate and moderate rainfall,110-140,"Urea at sowing, DAP at root initiation, Potash at grain filling (apply as needed)","Irrigate at CRI, booting, flowering, and grain filling"
Maize,Sandy loam,Rabi,Bihar,Needs fertile well-drained soil,90-120,"Nitrogen at sowing, Urea at knee-high, DAP at tasseling","Irrigate at knee-high, tasseling, grain filling"
Sugarcane,Loamy,Annual,Uttar Pradesh,"Long duration crop, high water requirement",270-360,"Nitrogen & Potash split doses, Phosphate basal","Irrigate every 7–12 days in summer, 15–20 in winter"
Cotton,Black soil,Kharif,Gujarat,"Prefers dry climate, moderate irrigation",150-180,"Nitrogen split doses, Potash at flowering (apply as needed)",Irrigate every 7–12 days during boll formation - follow local extension recommendations
Pulses (Tur/Arhar),Black soil,Kharif,Karnataka,"Needs less water, improves soil fertility",100-120,"Rhizobium seed treatment, minimal nitrogen - follow local extension recommendations",One irrigation at flowering if dry (apply as needed)
Groundnut,Red soil,Rabi,Tamil Nadu,"Prefers light soil, good drainage",100-130,"Gypsum at pegging, Nitrogen & Potash basal",Irrigate at pegging and pod development (apply as needed)
Bajra (Pearl Millet),Light loam,Kharif,Maharashtra,"Drought tolerant, grown in arid zones",80-100,"Nitrogen at sowing, minimal inputs",Usually rainfed; 1–2 irrigations if dry (apply as needed)
Jowar (Sorghum),Black soil,Kharif,Maharashtra,"Dual-purpose crop, food & fodder",100-120,Nitrogen & DAP basal - follow local extension recommendations,Rainfed; irrigate at booting and grain filling - follow local extension recommendations
Barley,Loamy,Rabi,Punjab,"Tolerates saline soil, grows in dry cool climate",90-120,Urea at sowing and tillering,"2–3 irrigations: tillering, booting, grain filling (apply as needed)"
Soybean,Black,Kharif,Maharashtra,"Improves soil nitrogen, legume crop",90-110,"Rhizobium inoculation, DAP basal - follow local extension recommendations",Irrigate at pod initiation and seed filling - follow local extension recommendations
Mustard,Loamy,Rabi,UP,"Oilseed crop, needs cool climate",90-120,"DAP at sowing, Nitrogen top dressing (apply as needed)","Irrigate at branching, flowering, pod formation"
Sunflower,Sandy loam,Kharif,Maharashtra,"Oilseed crop, sunlight-loving",80-100,"DAP basal, Nitrogen at flowering (apply as needed)","Irrigate at seedling, flowering, seed filling - follow local extension recommendations"
Potato,Alluvial,Rabi,Bihar,"Tuber crop, cool season",90-110,"Nitrogen, Potash, Phosphate in split doses","Irrigate at stolon formation, tuber bulking (apply as needed)"
Onion,Sandy loam,Rabi,Gujarat,"Bulb crop, needs drainage",110-130,FYM + Nitrogen + Potash,"Irrigate every 10–12 days, critical at bulb formation - follow local extension recommendations"
Tomato,Sandy loam,Kharif,Maharashtra,"Vegetable, prefers well-drained soil",100-130,"FYM + NPK basal, Nitrogen splits",Irrigate every 6–8 days
Brinjal,Loamy,Annual,West Bengal,"Vegetable crop, needs warm climate",110-150,"FYM + NPK basal, Nitrogen splits (apply as needed)",Irrigate every 7–10 days - follow local extension recommendations
Cabbage,Loamy,Rabi,Himachal Pradesh,Cool-season leafy vegetable,90-120,"Nitrogen top dressing, Potash basal - follow local extension recommendations",Water every 10–12 days
Cauliflower,Loamy,Rabi,Punjab,"Cool-season vegetable, short duration",80-110,"Nitrogen + DAP basal, Potash",Irrigate every 8–10 days
Chilli,Sandy loam,Kharif,Andhra Pradesh,"Spice crop, needs warm climate",120-150,"NPK basal, Nitrogen at flowering (apply as needed)",Irrigate every 7–10 days - follow local extension recommendations
Carrot,Loamy,Rabi,UP,"Root vegetable, cool season",90-120,"FYM basal, Nitrogen at 30 DAS (apply as needed)",Irrigate every 12–15 days - follow local extension recommendations
Radish,Sandy loam,Rabi,Bihar,"Root vegetable, fast growing",50-70,"FYM basal, Nitrogen at 20 DAS - follow local extension recommendations",Irrigate every 7–10 days
Spinach,Sandy loam,All seasons,All India,"Leafy vegetable, short duration",30-50,"Minimal fertilizers, Nitrogen basal (apply as needed)",Irrigate every 5–7 days - follow local extension recommendations
Lentil,Sandy loam,Rabi,Madhya Pradesh,"Pulse crop, cool season",100-120,"Rhizobium inoculation, DAP basal","Usually rainfed, one irrigation at flowering (apply as needed)"
Gram (Chickpea),Loamy,Rabi,Madhya Pradesh,"Pulse crop, drought tolerant",100-120,"Rhizobium seed treatment, DAP basal",One irrigation at pod formation
Turmeric,Alluvial,Kharif,Kerala,"Spice crop, rhizome",180-210,"FYM basal, Nitrogen splits",Irrigate every 10–15 days (apply as needed)
Ginger,Loamy,Kharif,Karnataka,"Spice crop, rhizome",180-200,"FYM basal, Nitrogen splits",Irrigate every 7–10 days (apply as needed)
Black Pepper,Laterite,Perennial,Karnataka,"Spice vine, grows on supports",150-180,"Organic manure, Potash basal - follow local extension recommendations",Irrigate every 10–12 days (apply as needed)
Cardamom,Forest soil,Perennial,Kerala,"Spice crop, shade loving",200-250,"Organic manure, Nitrogen basal",Regular irrigation in dry months - follow local extension recommendations
Banana,Alluvial,Annual,Maharashtra,"Fruit crop, tropical climate",300-365,"FYM basal, Nitrogen & Potash splits",Irrigate every 7–10 days (apply as needed)
Mango,Alluvial,Perennial,Maharashtra,"Fruit crop, tropical to subtropical",365+,"FYM, minimal fertilizers after fruit set - follow local extension recommendations","Water young plants, flowering, fruiting"
Papaya,Sandy loam,Annual,Gujarat,"Fruit crop, fast growing",180-240,Nitrogen & Potash regular application,Irrigate every 7–10 days (apply as needed)
Guava,Sandy loam,Perennial,Bihar,"Fruit crop, hardy",365+,"FYM basal, Nitrogen annual - follow local extension recommendations","Water young plants, flowering, fruiting"
Apple,Sandy loam,Rabi,Uttarakhand,"Fruit crop, cool climate",250-300,"FYM basal, Nitrogen & Potash splits - follow local extension recommendations",Irrigate during fruit set and dry periods
Grapes,Sandy loam,Annual,Tamil Nadu,"Fruit crop, vineyard",150-180,"Nitrogen, Potash basal",Water every 7–10 days
Pineapple,Laterite,Annual,Kerala,"Fruit crop, tropical climate",210-240,"Organic manure, Nitrogen basal - follow local extension recommendations",Irrigate every 10–15 days (apply as needed)
Watermelon,Sandy loam,Kharif,UP,"Fruit crop, hot dry climate",80-100,"Nitrogen basal, Potash at fruit set - follow local extension recommendations",Irrigate weekly until fruiting (apply as needed)
Muskmelon,Loamy,Summer,UP,"Fruit crop, warm climate",70-90,"Nitrogen basal, Potash at fruit set - follow local extension recommendations",Irrigate at 7–10 day intervals - follow local extension recommendations
Pomegranate,Loamy,Perennial,Karnataka,"Fruit crop, hardy and drought tolerant",365+,"FYM basal, Potash annual",Irrigate at flowering and fruiting - follow local extension recommendations
Coconut,Sandy loam,Perennial,Tamil Nadu,"Nut crop, coastal regions",365+,"Organic manure, Potash annual",Irrigate every 15–20 days (apply as needed)
Tea,Loamy,Perennial,Kerala,"Plantation crop, acidic soils",365+,Nitrogen & Potash regular,Irrigate in dry months - follow local extension recommendations
Coffee,Laterite,Perennial,Karnataka,"Plantation crop, shade loving",365+,"Organic manure, Nitrogen basal",Water in dry season
Rubber,Laterite,Perennial,Tamil Nadu,"Plantation crop, latex",365+,"Organic manure, minimal fertilizers",Water in dry season
Tobacco,Sandy loam,Rabi,Andhra Pradesh,"Commercial crop, requires warm climate",120-150,"Nitrogen basal, Potash top dressing",Irrigate every 7–10 days
Jute,Sandy loam,Kharif,West Bengal,"Fiber crop, needs humid climate",100-120,Nitrogen & Potash basal,Irrigate if rainfall is insufficient
Cotton Hybrid,Black soil,Kharif,Gujarat,"Hybrid cotton, higher yield",160-200,"Nitrogen split, Potash at flowering - follow local extension recommendations",Water at boll formation
Sesame,Sandy loam,Kharif,UP,"Oilseed crop, drought tolerant",80-100,"Minimal fertilizers, Nitrogen basal - follow local extension recommendations","Usually rainfed, irrigate at flowering - follow local extension recommendations"
Castor,Black soil,Kharif,Rajasthan,"Oilseed crop, hardy",120-150,Nitrogen & Potash basal,Irrigate at flowering and capsule formation - follow local extension recommendations
Safflower,Sandy loam,Rabi,Karnataka,"Oilseed crop, cool season",110-130,"Nitrogen basal, Potash at flowering (apply as needed)","Usually rainfed, irrigate at flowering"
Linseed,Loamy,Rabi,Madhya Pradesh,"Oilseed crop, cool climate",100-120,Nitrogen & Potash basal,Irrigate once at flowering - follow local extension recommendations
Peas,Loamy,Rabi,Punjab,"Vegetable/pulse, cool climate",90-120,"DAP basal, minimal Nitrogen - follow local extension recommendations",Irrigate at flowering and pod filling (apply as needed)
Rice,Alluvial,Kharif,Andhra Pradesh,"Needs high rainfall, grown in waterlogged fields",120-150,"Nitrogen-rich fertilizers (Urea, DAP) at tillering stage - follow local extension recommendations",Irrigate every 7–10 days - follow local extension recommendations
Wheat,Loamy,Rabi,Punjab,Requires cool climate and moderate rainfall,110-140,"Urea at sowing, DAP at root initiation, Potash at grain filling (apply as needed)","Irrigate at CRI, booting, flowering, and grain filling"
Maize,Sandy loam,Rabi,Andhra Pradesh,Needs fertile well-drained soil,90-120,"Nitrogen at sowing, Urea at knee-high, DAP at tasseling","Irrigate at knee-high, tasseling, grain filling - follow local extension recommendations"
Sugarcane,Alluvial,Annual,Tamil Nadu,"Long duration crop, high water requirement",270-360,"Nitrogen & Potash split doses, Phosphate basal","Water every 7–12 days in summer, 15–20 in winter"
Cotton,Black soil,Kharif,Telangana,"Prefers dry climate, moderate irrigation",150-180,"Nitrogen split doses, Potash at flowering",Irrigate every 7–12 days during boll formation
Pulses (Tur/Arhar),Black soil,Kharif,Madhya Pradesh,"Needs less water, improves soil fertility",100-120,"Rhizobium seed treatment, minimal nitrogen",One irrigation at flowering if dry
Groundnut,Sandy loam,Kharif,Andhra Pradesh,"Prefers light soil, good drainage",100-130,"Gypsum at pegging, Nitrogen & Potash basal (apply as needed)",Irrigate at pegging and pod development
Bajra (Pearl Millet),Sandy,Kharif,Maharashtra,"Drought tolerant, grown in arid zones",80-100,"Nitrogen at sowing, minimal inputs (apply as needed)",Usually rainfed; 1–2 irrigations if dry (apply as needed)
